schedule_group_id,category_id,name,rule_type,rule_json,note,source_id,updated_at
burn_mon_thu,burnable,一般ごみ（月・木）,weekly,"{""type"": ""weekly"", ""weekdays"": [""MON"", ""THU""]}","{""year_end"": {""last_collection"": ""2025-12-29"", ""restart"": ""2026-01-05""}}",src_pdf_r7,2026-01-24T08:16:54
burn_tue_fri,burnable,一般ごみ（火・金）,weekly,"{""type"": ""weekly"", ""weekdays"": [""TUE"", ""FRI""]}","{""year_end"": {""last_collection"": ""2025-12-30"", ""restart"": ""2026-01-06""}}",src_pdf_r7,2026-01-24T08:16:54
nonburn_1st_wed,nonburnable,燃えないごみ（第1水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 1, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
nonburn_2nd_wed,nonburnable,燃えないごみ（第2水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 2, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
can_1st_wed,can,あきかん（第1水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 1, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
can_2nd_wed,can,あきかん（第2水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 2, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
bottle_1st_wed,bottle,あきびん（第1水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 1, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
bottle_2nd_wed,bottle,あきびん（第2水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 2, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
large_burn_3rd_wed,large_burnable,燃える粗大ごみ（第3水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 3, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
large_burn_4th_wed,large_burnable,燃える粗大ごみ（第4水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 4, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
petbottle_3rd_wed,petbottle,ペットボトル（第3水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 3, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
petbottle_4th_wed,petbottle,ペットボトル（第4水曜）,monthly_nth_weekday,"{""type"": ""monthly_nth_weekday"", ""nth"": 4, ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
plastic_1st_wed_and_3rd_wed,plastic_container,容器包装プラスチック（第1・第3水曜）,monthly_multiple_nth_weekday,"{""type"": ""monthly_multiple_nth_weekday"", ""nth"": [1, 3], ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
plastic_2nd_wed_and_4th_wed,plastic_container,容器包装プラスチック（第2・第4水曜）,monthly_multiple_nth_weekday,"{""type"": ""monthly_multiple_nth_weekday"", ""nth"": [2, 4], ""weekday"": ""WED""}",,src_pdf_r7,2026-01-24T08:16:54
